Year	Name	Level	Country	Continent	Developed country	Communist country	Developing country
1949	Mao Zedong	President	Soviet Union	Europe	0	1	0
1950	Zhou Enlai	Premier	Soviet Union	Europe	0	1	0
1952	Zhou Enlai	Premier	Soviet Union	Europe	0	1	0
1954	Zhou Enlai	Premier	Myanmar	Asia	0	0	1
1954	Zhou Enlai	Premier	India	Asia	0	0	1
1954	Zhou Enlai	Premier	Soviet Union	Europe	0	1	0
1954	Zhou Enlai	Premier	Switzerland	Europe	1	0	0
1954	Zhou Enlai	Premier	Poland	Europe	0	1	0
1955	Zhou Enlai	Premier	Indonesia	Asia	0	0	1
1956	Zhou Enlai	Premier	Myanmar	Asia	0	0	1
1956	Zhou Enlai	Premier	Cambodia	Asia	0	0	1
1956	Zhou Enlai	Premier	Pakistan	Asia	0	0	1
1956	Zhou Enlai	Premier	Soviet Union	Europe	0	1	0
1956	Zhou Enlai	Premier	Vietnam	Asia	0	1	0
1957	Mao Zedong	President	Soviet Union	Europe	0	1	0
1957	Zhou Enlai	Premier	Afghanistan	Asia	0	0	1
1957	Zhou Enlai	Premier	Sri Lanka	Asia	0	0	1
1957	Zhou Enlai	Premier	Hungary	Europe	0	1	0
1957	Zhou Enlai	Premier	India	Asia	0	0	1
1957	Zhou Enlai	Premier	Nepal	Asia	0	0	1
1957	Zhou Enlai	Premier	Poland	Europe	0	1	0
1957	Zhou Enlai	Premier	Soviet Union	Europe	0	1	0
1960	Liu Shaoqi	President	Soviet Union	Europe	0	1	0
1960	Zhou Enlai	Premier	Myanmar	Asia	0	0	1
1960	Zhou Enlai	Premier	Cambodia	Asia	0	0	1
1960	Zhou Enlai	Premier	India	Asia	0	0	1
1960	Zhou Enlai	Premier	Mongolia	Asia	0	1	0
1960	Zhou Enlai	Premier	Nepal	Asia	0	0	1
1960	Zhou Enlai	Premier	Vietnam	Asia	0	1	0
1963	Liu Shaoqi	President	Myanmar	Asia	0	0	1
1963	Liu Shaoqi	President	Cambodia	Asia	0	0	1
1963	Liu Shaoqi	President	Indonesia	Asia	0	0	1
1963	Liu Shaoqi	President	Korea, North	Asia	0	1	0
1963	Liu Shaoqi	President	Vietnam	Asia	0	1	0
1963	Zhou Enlai	Premier	Algeria	Africa	0	0	1
1963	Zhou Enlai	Premier	Egypt	Africa	0	0	1
1963	Zhou Enlai	Premier	Morocco	Africa	0	0	1
1964	Zhou Enlai	Premier	Ethiopia	Africa	0	0	1
1964	Zhou Enlai	Premier	Ghana	Africa	0	0	1
1964	Zhou Enlai	Premier	Guinea	Africa	0	0	1
1964	Zhou Enlai	Premier	Mali	Africa	0	0	1
1964	Zhou Enlai	Premier	Pakistan	Asia	0	0	1
1964	Zhou Enlai	Premier	Somalia	Africa	0	0	1
1964	Zhou Enlai	Premier	Soviet Union	Europe	0	1	0
1964	Zhou Enlai	Premier	Albania	Europe	0	1	0
1964	Zhou Enlai	Premier	Sudan	Africa	0	0	1
1964	Zhou Enlai	Premier	Tunisia	Africa	0	0	1
