"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","YNGPOP","TOT","PC_POP","A","1970",28.828,
"AUS","YNGPOP","TOT","PC_POP","A","1971",28.677,
"AUS","YNGPOP","TOT","PC_POP","A","1972",28.509,
"AUS","YNGPOP","TOT","PC_POP","A","1973",28.233,
"AUS","YNGPOP","TOT","PC_POP","A","1974",27.868,
"AUS","YNGPOP","TOT","PC_POP","A","1975",27.493,
"AUS","YNGPOP","TOT","PC_POP","A","1976",26.987,
"AUS","YNGPOP","TOT","PC_POP","A","1977",26.519,
"AUS","YNGPOP","TOT","PC_POP","A","1978",26.067,
"AUS","YNGPOP","TOT","PC_POP","A","1979",25.617,
"AUS","YNGPOP","TOT","PC_POP","A","1980",25.253,
"AUS","YNGPOP","TOT","PC_POP","A","1981",24.965,
"AUS","YNGPOP","TOT","PC_POP","A","1982",24.664,
"AUS","YNGPOP","TOT","PC_POP","A","1983",24.368,
"AUS","YNGPOP","TOT","PC_POP","A","1984",23.979,
"AUS","YNGPOP","TOT","PC_POP","A","1985",23.597,
"AUS","YNGPOP","TOT","PC_POP","A","1986",23.095,
"AUS","YNGPOP","TOT","PC_POP","A","1987",22.672,
"AUS","YNGPOP","TOT","PC_POP","A","1988",22.375,
"AUS","YNGPOP","TOT","PC_POP","A","1989",22.153,
"AUS","YNGPOP","TOT","PC_POP","A","1990",22.004,
"AUS","YNGPOP","TOT","PC_POP","A","1991",21.902,
"AUS","YNGPOP","TOT","PC_POP","A","1992",21.816,
"AUS","YNGPOP","TOT","PC_POP","A","1993",21.726,
"AUS","YNGPOP","TOT","PC_POP","A","1994",21.627,
"AUS","YNGPOP","TOT","PC_POP","A","1995",21.525,
"AUS","YNGPOP","TOT","PC_POP","A","1996",21.37,
"AUS","YNGPOP","TOT","PC_POP","A","1997",21.215,
"AUS","YNGPOP","TOT","PC_POP","A","1998",21.048,
"AUS","YNGPOP","TOT","PC_POP","A","1999",20.891,
"AUS","YNGPOP","TOT","PC_POP","A","2000",20.723,
"AUS","YNGPOP","TOT","PC_POP","A","2001",20.546,
"AUS","YNGPOP","TOT","PC_POP","A","2002",20.336,
"AUS","YNGPOP","TOT","PC_POP","A","2003",20.129,
"AUS","YNGPOP","TOT","PC_POP","A","2004",19.938,
"AUS","YNGPOP","TOT","PC_POP","A","2005",19.742,
"AUS","YNGPOP","TOT","PC_POP","A","2006",19.571,
"AUS","YNGPOP","TOT","PC_POP","A","2007",19.43,
"AUS","YNGPOP","TOT","PC_POP","A","2008",19.299,
"AUS","YNGPOP","TOT","PC_POP","A","2009",19.169,
"AUS","YNGPOP","TOT","PC_POP","A","2010",19.057,
"AUS","YNGPOP","TOT","PC_POP","A","2011",18.951,
"AUS","YNGPOP","TOT","PC_POP","A","2012",18.932,
"AUS","YNGPOP","TOT","PC_POP","A","2013",18.929,
"AUS","YNGPOP","TOT","PC_POP","A","2014",18.912,
"AUS","YNGPOP","TOT","PC_POP","A","2015",18.893,
"AUS","YNGPOP","TOT","PC_POP","A","2016",18.902,
"AUS","YNGPOP","TOT","PC_POP","A","2017",18.857,
"AUS","YNGPOP","TOT","PC_POP","A","2018",18.815,
"AUT","YNGPOP","TOT","PC_POP","A","1970",24.364,
"AUT","YNGPOP","TOT","PC_POP","A","1971",24.317,
"AUT","YNGPOP","TOT","PC_POP","A","1972",24.16,
"AUT","YNGPOP","TOT","PC_POP","A","1973",23.898,
"AUT","YNGPOP","TOT","PC_POP","A","1974",23.59,
