"TYPE"	"WORD"	"VALUE"
"Abbau"	"Abbau"	-0.058
"Abbau"	"Abbaus"	-0.058
"Abbau"	"Abbaues"	-0.058
"Abbau"	"Abbauen"	-0.058
"Abbau"	"Abbaue"	-0.058
"Abbau"	"Abbauten"	-0.058
"abbauen"	"abbauen"	-0.0578
"abbauen"	"abbaue"	-0.0578
"abbauen"	"abbaust"	-0.0578
"abbauen"	"abbaut"	-0.0578
"abbauen"	"abbauest"	-0.0578
"abbauen"	"abbauet"	-0.0578
"abbauen"	"abbaute"	-0.0578
"abbauen"	"abbautest"	-0.0578
"abbauen"	"abbauten"	-0.0578
"abbrechen"	"abbrechen"	-0.3482
"abbrechen"	"abbreche"	-0.3482
"abbrechen"	"abbrichst"	-0.3482
"abbrechen"	"abbricht"	-0.3482
"abbrechen"	"abbrecht"	-0.3482
"abbrechen"	"abbrechest"	-0.3482
"abbrechen"	"abbrechet"	-0.3482
"abbrechen"	"abbrach"	-0.3482
"abbrechen"	"abbrachst"	-0.3482
"abbrechen"	"abbrachen"	-0.3482
"abbrechen"	"abbracht"	-0.3482
"abbrechen"	"abbraeche"	-0.3482
"abbrechen"	"abbraechest"	-0.3482
"abbrechen"	"abbraechst"	-0.3482
"abbrechen"	"abbraechen"	-0.3482
"abbrechen"	"abbraechet"	-0.3482
"abbrechen"	"abbraecht"	-0.3482
"Abbruch"	"Abbruch"	-0.0048
"Abbruch"	"Abbruches"	-0.0048
"Abbruch"	"Abbrueche"	-0.0048
"Abbruch"	"Abbruchs"	-0.0048
"Abbruch"	"Abbruechen"	-0.0048
"Abbruch"	"Abbruche"	-0.0048
"abdaempfen"	"abdaempfen"	-0.0048
"abdaempfen"	"abdaempfe"	-0.0048
"abdaempfen"	"abdaempfst"	-0.0048
"abdaempfen"	"abdaempft"	-0.0048
"abdaempfen"	"abdaempfest"	-0.0048
"abdaempfen"	"abdaempfet"	-0.0048
"abdaempfen"	"abdaempfte"	-0.0048
"abdaempfen"	"abdaempftest"	-0.0048
"abdaempfen"	"abdaempften"	-0.0048
"abdaempfen"	"abdaempftet"	-0.0048
"Abdaempfung"	"Abdaempfung"	-0.0048
"Abdaempfung"	"Abdaempfungen"	-0.0048
"abdanken"	"abdanken"	-0.0048
"abdanken"	"abgedankt"	-0.0048
"abdanken"	"abdanke"	-0.0048
"abdanken"	"abdankte"	-0.0048
"abdanken"	"abdankt"	-0.0048
"abdanken"	"abdanktet"	-0.0048
"abdanken"	"abdankest"	-0.0048
"abdanken"	"abdankst"	-0.0048
"abdanken"	"abdanktest"	-0.0048
"abdanken"	"abdankten"	-0.0048
"abdanken"	"abdanket"	-0.0048
"Abdankung"	"Abdankung"	-0.0048
"Abdankung"	"Abdankungen"	-0.0048
"Abfall"	"Abfall"	-0.0048
"Abfall"	"Abfalles"	-0.0048
"Abfall"	"Abfaelle"	-0.0048
"Abfall"	"Abfalls"	-0.0048
"Abfall"	"Abfaellen"	-0.0048
"Abfall"	"Abfalle"	-0.0048
"abfallen"	"abfallen"	-0.0048
"abfallen"	"abfalle"	-0.0048
"abfallen"	"abfaellst"	-0.0048
"abfallen"	"abfaellt"	-0.0048
"abfallen"	"abfallt"	-0.0048
"abfallen"	"abfallest"	-0.0048
"abfallen"	"abfallet"	-0.0048
"abfallen"	"abfiel"	-0.0048
"abfallen"	"abfielst"	-0.0048
"abfallen"	"abfielen"	-0.0048
"abfallen"	"abfielt"	-0.0048
"abfallen"	"abfiele"	-0.0048
"abfallen"	"abfielest"	-0.0048
"abfallen"	"abfielet"	-0.0048
"abfaellig"	"abfaellig"	-0.3197
"abfaellig"	"abfaelligstes"	-0.3197
"abfaellig"	"abfaelligster"	-0.3197
"abfaellig"	"abfaelligste"	-0.3197
"abfaellig"	"abfaelligsten"	-0.3197
"abfaellig"	"abfaelligst"	-0.3197
"abfaellig"	"abfaelligstem"	-0.3197
"abfaellig"	"abfaellige"	-0.3197
"abfaellig"	"abfaelligerer"	-0.3197
"abfaellig"	"abfaelliger"	-0.3197
"abfaellig"	"abfaelligere"	-0.3197
"abfaellig"	"abfaelliges"	-0.3197
"abfaellig"	"abfaelligeren"	-0.3197
"abfaellig"	"abfaelligerem"	-0.3197
"abfaellig"	"abfaelligen"	-0.3197
"abfaellig"	"abfaelligem"	-0.3197
"abfaellig"	"abfaelligeres"	-0.3197
"Abfuhr"	"Abfuhr"	-0.3367
"Abfuhr"	"Abfuhren"	-0.3367
"abfuehren"	"abfuehren"	-0.3358
"abfuehren"	"abfuehrtet"	-0.3358
"abfuehren"	"abfuehrt"	-0.3358
"abfuehren"	"abfuehrst"	-0.3358
"abfuehren"	"abfuehre"	-0.3358
"abfuehren"	"abfuehrte"	-0.3358
"abfuehren"	"abfuehret"	-0.3358
"abfuehren"	"abgefuehrt"	-0.3358
"abfuehren"	"abfuehrtest"	-0.3358
"abfuehren"	"abfuehrten"	-0.3358
"abfuehren"	"abfuehrest"	-0.3358
"abgebrochen"	"abgebrochen"	-0.0048
